backbone,feature,dr,k,clf,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_folds,accuracy_mean±std,macro_f1_mean±std
resnet50,EplusT,pca,8,knn,0.7899352331131361,0.012166293211209616,0.7301563007725042,0.012607019222303376,4,0.7899 ± 0.0122,0.7302 ± 0.0126
resnet50,EplusT,lda,8,logreg,0.7694313749918535,0.008849102221539978,0.7218722172567957,0.007503618116015637,4,0.7694 ± 0.0088,0.7219 ± 0.0075
mobilenet_v3_small,EplusT,pca,8,linearsvc,0.7604534727198597,0.010853872110796284,0.7122317865320893,0.014515552731647677,4,0.7605 ± 0.0109,0.7122 ± 0.0145
efficientnet_b0,EplusT,lda,8,linearsvc,0.7434610493850806,0.002250749129020233,0.6846784525495887,0.009559985535543398,4,0.7435 ± 0.0023,0.6847 ± 0.0096
efficientnet_b0,EplusT,pca,8,linearsvc,0.719043419400251,0.00776192383826521,0.664840218952206,0.008008751598637126,4,0.7190 ± 0.0078,0.6648 ± 0.0080
resnet50,EplusT,pca,8,linearsvc,0.6812381112895933,0.012368788938705877,0.6275986962194682,0.01533617518613661,4,0.6812 ± 0.0124,0.6276 ± 0.0153
resnet50,EplusT,rp,16,knn,0.6359475603118301,0.007703004855507491,0.5632310807141515,0.01240752684065891,4,0.6359 ± 0.0077,0.5632 ± 0.0124
mobilenet_v3_small,EplusT,rp,8,logreg,0.5825342415487175,0.007085172592821769,0.5492243625220717,0.014403750923547454,4,0.5825 ± 0.0071,0.5492 ± 0.0144
mobilenet_v3_small,EplusT,rp,8,knn,0.6028780519122007,0.010178462048201442,0.5445241961921677,0.015350412248187504,4,0.6029 ± 0.0102,0.5445 ± 0.0154
resnet50,EplusT,lda,8,linearsvc,0.6072374599039626,0.023662468021709408,0.536820343605515,0.013789646087237324,4,0.6072 ± 0.0237,0.5368 ± 0.0138
resnet50,EplusT,rp,16,logreg,0.5702810353163652,0.015098886691604438,0.5240057941768537,0.013648309886993303,4,0.5703 ± 0.0151,0.5240 ± 0.0136
